title,author,genre,plot
위대한 개츠비,F. 스콧 피츠제럴드,"소설, 비극, 모더니즘","1920년대 미국을 배경으로, 미스터리한 백만장자 개츠비의 무모한 사랑과 꿈, 그리고 좌절을 통해 아메리칸 드림의 허상을 그려낸 소설."
호밀밭의 파수꾼,J.D. 샐린저,"성장 소설, 리얼리즘","퇴학당한 고등학생 홀든 콜필드가 집으로 돌아가기 전 며칠간 뉴욕을 방황하며 겪는 경험과 위선적인 세상에 대한 환멸, 순수에 대한 갈망을 독백체로 이야기한다."
이방인,알베르 카뮈,"철학 소설, 부조리주의","평범한 회사원 뫼르소가 어머니의 죽음에도 슬픔을 느끼지 않고, 우발적 살인을 저지른 후에도 사회의 기대와 관습을 거부하며 부조리한 세상과 마주하는 과정을 담담하게 그린다."
죄와 벌,표도르 도스토옙스키,"심리 소설, 철학 소설","가난한 대학생 라스콜니코프가 비범한 인간은 도덕률을 넘어설 수 있다는 초인 사상에 사로잡혀 노파를 살해하고, 이후 죄의식과 불안감 속에서 벌어지는 심리적 갈등과 구원의 과정을 다룬다."
상실의 시대,무라카미 하루키,"연애 소설, 성장 소설","1960년대 일본을 배경으로 주인공 와타나베가 두 여성, 나오코와 미도리와의 관계 속에서 겪는 사랑과 상실, 죽음과 성장의 아픔을 섬세하게 그린 소설."
멋진 신세계,올더스 헉슬리,"디스토피아, SF 소설","과학 기술로 모든 것이 통제되고 인간은 인공 생산되며, 안정을 위해 진정한 자유와 감정이 제거된 미래 세계를 통해 현대 문명을 비판하는 소설."
인간실격,다자이 오사무,"사소설, 자전적 소설",주인공 요조가 순수한 내면과 위선적인 세상 사이의 괴리감 속에서 익살꾼으로 자신을 위장하며 살아가다 결국 파멸에 이르는 과정을 그린 자전적 소설.
1984,조지 오웰,"디스토피아, 정치 소설","전체주의 국가 오세아니아에서 모든 것을 감시하는 '빅 브라더'의 통제 아래, 주인공 윈스턴 스미스가 체제에 저항하며 겪게 되는 감시, 통제, 그리고 인간성 말살의 공포를 그린다."
동물농장,조지 오웰,"정치 풍자 소설, 우화","농장의 동물들이 인간을 내쫓고 평등한 사회를 건설하지만, 결국 돼지라는 새로운 독재 계급 아래 더 억압적인 체제로 변질되는 과정을 통해 스탈린주의를 비판한다."
데미안,헤르만 헤세,"성장 소설, 교양 소설",주인공 싱클레어가 신비로운 친구 데미안의 인도로 기존의 선악 이분법적 세계를 벗어나 자기 자신을 찾아가는 내면적 성장 과정을 그린다.
수레바퀴 아래서,헤르만 헤세,"성장 소설, 사회 비판",명석한 소년 한스 기벤라트가 권위적인 학교와 사회의 억압 속에서 자신의 감성과 개성을 잃고 파멸해가는 과정을 통해 경직된 교육 제도를 비판한다.
페스트,알베르 카뮈,"철학 소설, 실존주의","알제리의 오랑 시에 페스트가 발병하자, 외부와 단절된 도시 속에서 재앙에 맞서 연대하는 인간들의 다양한 모습을 통해 부조리한 운명에 대한 저항 정신을 탐구한다."
변신,프란츠 카프카,"실존주의, 부조리극","평범한 외판원 그레고르 잠자가 어느 날 아침 거대한 벌레로 변한 자신을 발견하고, 가족과 사회로부터 소외되어 죽음에 이르는 과정을 통해 현대인의 고독과 소외를 그린다."
성,프란츠 카프카,"철학 소설, 미완성 소설","측량사 K가 정체불명의 성에 들어가려 하지만, 미로처럼 복잡하고 관료적인 성의 시스템에 의해 끊임없이 좌절하며 목적을 이루지 못하는 부조리한 상황을 묘사한다."
앵무새 죽이기,하퍼 리,"성장 소설, 법정 드라마","1930년대 미국 남부의 인종차별 문제를 어린 소녀 스카웃의 시선으로 그리며, 사회적 편견과 불의에 맞서는 변호사 아버지 애티커스 핀치의 모습을 담아낸다."
노인과 바다,어니스트 헤밍웨이,"소설, 모험",84일 동안 고기를 잡지 못한 늙은 어부 산티아고가 거대한 청새치를 낚기 위해 벌이는 고독하고 치열한 사투를 통해 인간의 존엄성과 불굴의 의지를 보여준다.
분노의 포도,존 스타인벡,"사회 소설, 리얼리즘","대공황 시기, 가뭄과 경제난으로 오클라호마의 농지를 잃은 조드 일가가 캘리포니아로 이주하며 겪는 고난과 착취, 그리고 그 속에서 피어나는 인간애와 연대를 그린다."
모비 딕,허먼 멜빌,"모험 소설, 해양 문학",에이해브 선장이 자신의 다리를 앗아간 거대한 흰 고래 모비 딕에게 복수하기 위해 광기 어린 추적을 벌이는 과정을 통해 인간의 집착과 자연의 위대함을 탐구한다.
주홍 글씨,너새니얼 호손,"역사 소설, 로맨스","17세기 청교도 사회인 뉴잉글랜드를 배경으로, 간통죄를 짓고 가슴에 주홍 글씨 'A'를 새긴 여인 헤스터 프린의 고통과 위선을 통해 죄와 구원의 문제를 다룬다."
오만과 편견,제인 오스틴,"연애 소설, 사회 풍자","19세기 영국을 배경으로, 오만해 보이는 남자 다아시와 편견에 사로잡힌 여자 엘리자베스가 서로의 진심을 알아가며 사랑에 빠지는 과정을 섬세하게 그린 소설."
제인 에어,샬럿 브론테,"로맨스, 성장 소설","불우한 환경에서 자란 고아 제인 에어가 역경을 딛고 가정교사로 일하며 독립적인 여성으로 성장하고, 주인인 로체스터와 신분과 관습을 뛰어넘는 사랑을 이루는 이야기."
폭풍의 언덕,에밀리 브론테,"고딕 소설, 비극","황량한 폭풍의 언덕을 배경으로, 캐서린과 히스클리프의 격정적이고 파괴적인 사랑과 복수를 세대에 걸쳐 그려낸 비극적인 로맨스 소설."
프랑켄슈타인,메리 셸리,"고딕 소설, SF","과학자 빅터 프랑켄슈타인이 생명 창조의 비밀을 알아내고 시체로 피조물을 만들지만, 흉측한 외모 때문에 버림받은 피조물이 창조주에게 복수하는 과정을 그린다."
파리대왕,윌리엄 골딩,"우화, 모험 소설",무인도에 고립된 영국 소년들이 문명 사회의 규칙을 잃고 원시적인 야만성으로 퇴행하며 벌이는 권력 다툼과 갈등을 통해 인간 본성에 내재된 악을 탐구한다.
안나 카레니나,레프 톨스토이,"사실주의 소설, 비극","19세기 러시아 사교계를 배경으로, 유부녀 안나 카레니나가 젊은 장교 브론스키와 치명적인 사랑에 빠져 파멸에 이르는 과정과, 이상적 가정을 꿈꾸는 레빈의 삶을 교차시킨다."
전쟁과 평화,레프 톨스토이,"역사 소설, 대하 소설","나폴레옹의 러시아 침공을 배경으로, 러시아 귀족 사회의 여러 가문들의 삶과 운명을 통해 전쟁의 참상, 역사와 인간의 관계, 그리고 삶의 의미를 장대하게 그려낸다."
카라마조프가의 형제들,표도르 도스토옙스키,"철학 소설, 심리 소설","탐욕스러운 아버지 표도르 카라마조프의 살해 사건을 둘러싸고, 그의 세 아들 드미트리, 이반, 알료샤가 겪는 신념과 회의, 사랑과 증오의 갈등을 통해 인간 영혼의 문제를 깊이 파고든다."
백년의 고독,가브리엘 가르시아 마르케스,"마술적 리얼리즘, 대하 소설","가상의 마을 마콘도를 배경으로, 부엔디아 가문의 100년에 걸친 흥망성쇠를 신화적이고 환상적인 필치로 그려내며 라틴 아메리카의 역사와 운명을 이야기한다."
돈키호테,미겔 데 세르반테스,"풍자 소설, 기사 문학",기사 이야기에 빠져 현실과 환상을 구분하지 못하게 된 시골 귀족 돈키호테가 시종 산초 판사와 함께 기사로서의 모험을 떠나며 벌이는 우스꽝스럽고도 슬픈 여정.
마담 보바리,귀스타브 플로베르,사실주의 소설,낭만적인 연애와 사치를 꿈꾸던 시골 의사의 아내 엠마 보바리가 단조로운 현실에 환멸을 느끼고 불륜과 빚에 빠져 결국 파멸하는 과정을 통해 부르주아 사회의 위선을 비판한다.
레 미제라블,빅토르 위고,"역사 소설, 사회 소설","빵 한 조각을 훔친 죄로 19년간 감옥살이를 한 장 발장의 기구한 삶과, 그를 쫓는 경감 자베르의 집념을 통해 19세기 프랑스 사회의 빈곤과 불의, 그리고 사랑과 구원을 그린다."
적과 흑,스탕달,"심리 소설, 사실주의","야망 있는 청년 쥘리앵 소렐이 자신의 신분을 뛰어넘기 위해 사랑과 위선을 무기로 귀족 사회에 침투하지만, 결국 열정과 이성 사이에서 갈등하다 파멸하는 이야기."
젊은 베르테르의 슬픔,요한 볼프강 폰 괴테,"서간체 소설, 낭만주의",젊은 예술가 베르테르가 약혼자가 있는 여성 로테에게 이룰 수 없는 사랑을 느끼며 겪는 격정적인 감정과 고뇌를 편지 형식으로 그려낸 소설.
파우스트,요한 볼프gang 폰 괴테,"희곡, 비극",세상의 모든 지식을 탐구한 노학자 파우스트가 악마 메피스토펠레스에게 영혼을 팔고 젊음을 얻어 쾌락과 모험을 추구하며 겪는 구원과 방황의 이야기.
서부 전선 이상 없다,에리히 마리아 레마르크,"반전 소설, 전쟁 문학","제1차 세계대전에 참전한 독일인 청년 파울 보이머의 시점에서 전쟁의 참혹함과 비인간성을 고발하며, 애국심이라는 명분 아래 파괴되어 가는 젊은 세대의 모습을 그린다."
마의 산,토마스 만,"교양 소설, 철학 소설","요양차 스위스의 결핵 요양원을 방문한 청년 한스 카스토르프가 그곳에 7년간 머물며 다양한 인물들과 교류하고, 질병과 죽음, 시간과 예술에 대한 사색을 통해 성장하는 이야기."
참을 수 없는 존재의 가벼움,밀란 쿤데라,"철학 소설, 포스트모더니즘","1968년 '프라하의 봄'을 배경으로, 네 남녀의 사랑과 관계를 통해 삶의 가벼움과 무거움, 우연과 필연, 영혼과 육체의 문제를 철학적으로 탐구한다."
장미의 이름,움베르토 에코,"추리 소설, 역사 소설","14세기 이탈리아의 한 수도원에서 벌어진 의문의 연쇄 살인 사건을 해결하기 위해 파견된 윌리엄 수도사의 7일간의 행적을 통해 중세의 신학과 철학, 기호학을 탐구한다."
롤리타,블라디미르 나보코프,"소설, 블랙 코미디","중년의 문학 교수 험버트 험버트가 12살 소녀 돌로레스 헤이즈(롤리타)에게 느끼는 집착적인 욕망과 그로 인한 도덕적, 사회적 파멸을 그린 논쟁적인 소설."
등대로,버지니아 울프,"모더니즘 소설, 의식의 흐름","램지 가족의 여름 휴가를 중심으로, 등장인물들의 내면 의식과 기억, 시간의 흐름을 섬세하게 포착하며 삶과 죽음, 예술과 여성의 정체성 문제를 탐구한다."
율리시스,제임스 조이스,"모더니즘 소설, 의식의 흐름","1904년 6월 16일 단 하루 동안 더블린 시를 배경으로, 주인공 레오폴드 블룸의 행적과 내면 의식을 따라가며 현대인의 삶과 소외를 신화적 구조 속에 그려낸다."
허클베리 핀의 모험,마크 트웨인,"모험 소설, 풍자",문명 사회의 위선을 피해 뗏목을 타고 미시시피 강을 따라 내려가는 소년 허클베리 핀과 흑인 노예 짐의 여정을 통해 인종차별과 사회적 관습을 비판한다.
위대한 유산,찰스 디킨스,"성장 소설, 사회 소설","고아 소년 핍이 익명의 후원자 덕분에 신사가 되지만, 그 과정에서 겪는 사랑과 배신, 그리고 부와 신분에 대한 환멸을 통해 진정한 성장을 이루는 이야기."
두 도시 이야기,찰스 디킨스,역사 소설,"프랑스 혁명 시기, 런던과 파리를 배경으로 혁명의 광기 속에서 희생적인 사랑을 통해 구원을 이루는 인물들의 운명을 그린 소설."
오디세이아,호메로스,"서사시, 고전","트로이 전쟁의 영웅 오디세우스가 고향 이타카로 돌아가기까지 10년간 바다를 표류하며 겪는 온갖 모험과 시련, 그리고 그의 아내와 아들의 이야기를 그린 고대 그리스 서사시."
일리아스,호메로스,"서사시, 고전","트로이 전쟁의 마지막 해를 배경으로, 그리스의 영웅 아킬레우스의 분노와 활약을 중심으로 신들과 영웅들의 갈등과 전투를 장엄하게 묘사한 서사시."
좁은 문,앙드레 지드,"소설, 심리주의","주인공 제롬과 그의 사촌 알리사의 비극적인 사랑 이야기를 통해, 육체적 사랑을 멀리하고 종교적 순결과 덕을 추구하는 것이 진정한 구원의 길인지에 대한 질문을 던진다."
어린 왕자,앙투안 드 생텍쥐페리,"동화, 철학 소설","사하라 사막에 불시착한 조종사가 다른 행성에서 온 어린 왕자를 만나면서, 어른들의 편협한 세상과 삶의 본질적인 가치에 대해 성찰하게 되는 이야기."
파우스트,요한 볼프강 폰 괴테,"희곡, 비극",세상의 모든 지식을 탐구한 노학자 파우스트가 악마 메피스토펠레스에게 영혼을 팔고 젊음을 얻어 쾌락과 모험을 추구하며 겪는 구원과 방황의 이야기.
